id,nombre,apellido,edad
981,Tommy,Kondratenko,3
982,Derick,Pandie,29
983,Lovell,Hatcher,6
984,Willis,Sides,61
985,Hilde,Drewson,13
986,Sandra,Durrant,5
987,Wolfie,Rittmeier,4
988,Dwight,Formby,46
989,Melli,Rothwell,39
990,Salem,Bonwell,91
991,Wit,Drewitt,2
992,Danila,Oak,95
993,Chloe,Fetteplace,67
994,Rudolf,Sibylla,95
995,Kim,Darte,46
996,Archambault,Marion,23
997,Gamaliel,Stambridge,31
998,Debra,Deathridge,1
999,Ingeborg,Hasel,62
1000,Arni,Eastmond,85
